station;station_name;latitude;longitude
250919;бняярюмхе-оюяяюфхпяйюъ;55.84343719;49.08121872
250904;бняярюмхе;;
49407;ябхпэ;60.95386887;34.08350372
248020;пюгзегд 275 йл;55.39382935;47.22510147
248001;хапеях;55.29277802;47.03315735
250105;мнбне юпюйвхмн;;
250040;наяепбюрнпхъ;55.8288765;48.80920792
250001;чдхмн;55.81512451;48.89504623
249517;екунбн;54.69366455;48.14851761
249502;аспсмдсйх;54.77341843;48.22989273
249413;ачпцюмш;54.82282639;48.2497673
249409;асю;54.96414185;48.26446915
249339;кных;55.05271149;48.24471664
249305;йюпюрсм;55.23328018;48.39957428
249220;йкчвх;55.33854294;48.50153351
249201;йскюмцю;55.4605484;48.42189026
249112;йсамъ;55.53617096;48.36171722
249108;юкаюаю;55.61356354;48.33796692
249038;ундъьебн;55.72351074;48.48158646
249004;ябхъфяй;55.79919052;48.52666855
248904;рчпкелю;55.75666046;48.22533035
248800;сплюпш;55.68655014;47.9440155
248730;ьнпйхярпш;55.63032532;47.74491501
250820;йнлопеяянпмши;55.82200623;49.18304062
250800;нлерэебн;55.77791595;49.16763687
250707;бюухрнбн;55.76568604;49.10791016
250302;йюгюмэ;55.78863144;49.09970093
250209;кюцепмюъ;55.80131149;49.01175308
250073;бнярнвмши оюпй;;
248092;йюмюь бнярнвмши;;
248088;но 670 йл (йюмюь бу.);;
250745;чахкеимюъ;;
250730;йнлахмюр;55.69579697;49.17985916
250764;ющпнонпр;55.60936737;49.2994194
250092;чдхмн гюоюдмши оюпй;;
250603;рхунпежйюъ;;
254426;яюпйсг;56.38777161;51.7187233
254203;йхгмеп;56.28300095;51.51018143
254727;йюпюлаюи;56.55941772;52.5818634
611413;бнкцнцпюд I;;
611405;бнкцнцпюд II;48.69205093;44.48014832
615389;люпхмнбйю;;
303317;оюопхую-асияйюъ;;
302920;метеднбн;58.61381912;40.26012802
302901;яйюкхмн;58.54237366;40.21353912
302812;люйюпнбн;58.30993652;40.22229767
302808;опевхярне;58.4199028;40.35241318
302600;йньрю;59.14165497;37.7490387
302507;вепеонбеж II;59.15255737;37.88329697
302304;вепеонбеж I;59.14059448;37.92630386
302225;ьекнлнбн;59.16832733;38.23601913
302210;уелюкдю;59.1356926;38.08001709
302102;ьейямю;59.20940018;38.52252197
302009;веаяюпю;59.20510101;38.8307724
301909;йсысаю;59.21992493;38.96780014
301805;йхоекнбн;59.23469543;39.1434021
301720;дхйюъ;59.24534607;39.49445343
301627;лнкнвмюъ;59.25696182;39.65756226
301400;бнфецю;60.47388077;40.21810913
301307;йюдмхйнбяйхи;60.31602097;40.26654053
301129;осмдсцю;60.1305369;40.2039367
301109;уюпнбяйюъ;59.9475642;40.2005437
301006;яелхцнпндмъъ;59.8071785;40.17477798
300821;лнпфемцю;59.61920929;40.1881485
300709;оевюрйхмн;59.50753403;40.14316559
300605;ясунмю;59.45676804;40.09080887
300501;пшайхмн;59.26515961;39.89790344
300304;бнкнцдю II;59.22796249;39.84644318
300107;бнкнцдю I;59.20688248;39.88279724
300003;княрю;59.17819595;39.97307968
308407;ябевю;58.28250122;47.50769424
308306;ьюаюкхмн;58.30252838;47.10920715
308236;йпсремяйхи;58.32639313;46.88142014
308109;цнярнбяйюъ;58.33321762;46.68788147
308005;ясопнрхбмши;;
307905;онмюгшпебн;58.35467529;46.31548309
307801;ъйьюмцю;;
307708;геакъйх;58.37085724;45.74058914
303209;цпъгнбеж;58.88422394;40.22938919
303105;аюйкюмйю;58.717556;40.12602997
586106;гюижебйю;49.68797684;40.08632278
585944;яепцеебйю;49.62778854;40.23487473
582005;кхяйх;50.97947693;39.50935745
585906;фспюбйю;49.77019882;39.81797028
585802;лхрпнтюмнбйю;49.96792603;39.69647217
585732;пюимнбяйюъ;50.05412674;39.6615181
585107;пняяньэ;50.18426895;39.60239029
585003;ондцнпмне;50.40174484;39.64061356
584922;оепебюкэяйюъ;50.50889587;39.65370178
584960;яюцсмш;50.6021843;39.61349106
584805;ебдюйнбн;50.70971298;39.4331131
584706;осунбн;;
590001;нрпнфйю;51.72846985;39.26700592
597104;опхдювю;51.64014816;39.25888443
241591;бейнбйю-вермши оюпй;;
245605;юпгюлюя I;55.40923691;43.7899704
245501;бспмюпш;55.48817825;46.94826126
245304;ьслепкъ;55.49084473;46.41127396
245227;ймъфхую;55.55096436;46.05036926
245107;охкэмю;55.54349518;45.92184067
245037;юмднянбн;55.53292465;45.74010086
245003;яепцюв;55.51974106;45.49566269
244903;рюпрюкеи;55.50017166;45.36300278
244710;йюлемхые;55.55636597;45.00572205
244706;ялюцхмн;55.57003403;44.85829544
244602;оепебнгяйюъ;55.59147263;44.52750778
244405;бюднй;;
244301;анашкэяйюъ;55.51509094;44.2102356
244212;рпюйрнбши-юпгюлюяяйхи;55.4487114;43.99380875
244208;юпгюлюя II;55.41731644;43.85144806
244138;няр. осмйр 408 йл;55.4294014;43.81423187
244021;аюкюунмхую;55.47908783;43.36471176
244000;лсурнкнбн;55.46416092;43.20056915
243826;бемеж;55.49913025;42.98426819
243783;реью;;
243648;пндъйнбн;55.53534317;42.52256012
243629;бекерэлю;55.53702927;42.35312271
243607;мюбюьхмн;55.53956604;42.19152832
243530;йнмдюйнбн;55.54713058;41.6946106
243506;асршкхжш;55.50632095;41.50675583
243309;днапърхмн;55.50507355;41.32319641
243205;юктепнбн;55.50596619;41.21593857
243008;гюйнкоэе;55.50415421;40.9614563
242912;мевюебяйюъ;;
242838;рнптнопндсйр;;
242823;хкэхвеб;55.50056458;40.30080032
948050;унканм;51.8991394;116.2369843
947912;ьхкйю-оюяяюфхпяйюъ;51.86094666;116.0459518
947908;ьхкйю-рнбюпмюъ;51.85527802;116.025589
947804;йюгюмнбн;51.77577209;115.8663254
947700;янкмжебюъ;51.7551384;115.6751938
947630;пюглюумхмн;51.76801682;115.4952622
947656;гсаюпебн;51.78493118;115.2745361
947503;спскэцю;51.76284027;114.7922745
943146;рюпяйюъ;51.63202667;114.5021362
943108;йюпшляйюъ;51.6244278;114.3503265
943023;рспхмяйюъ;51.6301918;114.0884934
942904;дюпюясм;51.66555786;113.9782562
942800;люййюбеебн;51.74751282;113.9606552
942707;мнбюъ;51.77165222;113.7912521
942603;йпсвхмю;51.82073212;113.7535324
942506;юрюлюмнбйю;51.92854309;113.6318359
317004;йхмеьлю II;;
318505;хбюмнбн;;
304911;йюпхлнбн;57.70239639;40.85559082
304907;йнялшмхмн;57.58884048;40.76263809
305524;реагю;58.16817474;42.14374924
305577;оепбсьхмн;58.03694153;41.93156815
305401;ясдхякюбкэ;57.92489624;41.67653275
305312;легю;57.81010056;41.40865326
305308;дпнбхмйх;57.79959106;41.23915482
305204;яемдецю;57.78684616;41.07090759
305100;йнярпнлю мнбюъ;57.75957108;40.98026657
310005;ъпнякюбкэ-цкюбмши;57.62560272;39.83530045
310019;йнрнпнякэ;57.60613632;39.8478775
310823;срйхмн;57.8112793;40.08423996
310700;тхкхмн;57.65613937;39.93326187
